# Ruffio et al. 2023 (in prep.)
# Detection sensitivity of NIRSpec as a function of effective temperature of the companion model (BTSettl - Allard+2003)
# GTO 1414 - HD 19467 - Kmag=5.4 - Tint=35 min (no overheads included)
# (1st column) Separation to the star in milli-arcsecond
# (other columns) 5sigma detection limits of NIRSpec IFU expressed as a companion-to-star flux ratio in the indicated filter
# Filter reference: http://svo2.cab.inta-csic.es/theory/fps/
# F356W = JWST_NIRCam.F356W.dat
# F444W = JWST_NIRCam.F444W.dat
# Lp = Keck_NIRC2.Lp.dat 
# Mp = Paranal_NACO.Mp.dat
Sep_mas	F356W - Teff = 500K	F356W - Teff = 1000K	F356W - Teff = 1500K	F356W - Teff = 2000K	F356W - Teff = 2500K	F356W - Teff = 3000K	F444W - Teff = 500K	F444W - Teff = 1000K	F444W - Teff = 1500K	F444W - Teff = 2000K	F444W - Teff = 2500K	F444W - Teff = 3000K	Lp - Teff = 500K	Lp - Teff = 1000K	Lp - Teff = 1500K	Lp - Teff = 2000K	Lp - Teff = 2500K	Lp - Teff = 3000K	Mp - Teff = 500K	Mp - Teff = 1000K	Mp - Teff = 1500K	Mp - Teff = 2000K	Mp - Teff = 2500K	Mp - Teff = 3000K
100.0	2.3394462023005697e-05	0.00010529763491341155	0.0003356428510585007	0.000829041606374696	0.0006805308775195784	0.0014068414025294122	0.00015807697958011252	0.00024228271618718548	0.0003490754842009313	0.0009395570955459594	0.0007336629103377644	0.0015712566831338954	5.603429839757304e-05	0.0001996031819665004	0.0003983132597012716	0.0009712538151898733	0.0007985869056711987	0.0015587047504062304	0.00016144788109585267	0.0001788602445558038	0.0002815940468939991	0.0008595793148992012	0.0006258144137550732	0.001542731186160483
200.0	6.736382829972162e-06	3.1067581467887314e-05	9.640756069629396e-05	0.00021416974541179845	0.0001881314304992975	0.0003456309258633409	4.5517911461702294e-05	7.148439781763502e-05	0.00010026585051508775	0.00024271966859764675	0.00020281967708680576	0.00038602425346888136	1.613495045296412e-05	5.889199811651186e-05	0.00011440854360427317	0.000250908013216696	0.00022076778865571443	0.000382940511319811	4.64885549870729e-05	5.277189011579528e-05	8.088298345111052e-05	0.0002220586778970482	0.00017300517107459828	0.00037901614728725626
300.0	2.906352678414416e-06	1.4599529135531332e-05	4.575266567617974e-05	8.071644100936034e-05	7.013120056488387e-05	0.00012182440563232203	1.9638299549120992e-05	3.359252633660013e-05	4.758371547026364e-05	9.147635570329332e-05	7.560665123594471e-05	0.00013606182699374934	6.9612813951742035e-06	2.7675004030821966e-05	5.4295491019784336e-05	9.456238465727551e-05	8.229730685292174e-05	0.0001349749015298446	2.0057075096911248e-05	2.4798993384115637e-05	3.838508177163012e-05	8.368962731234696e-05	6.44924684790509e-05	0.00013359168237907953
400.0	1.1119669645855811e-06	5.302385520683254e-06	1.7253095814308272e-05	3.206208356113345e-05	2.8257073955018766e-05	5.116083716072472e-05	7.513589283724467e-06	1.2200429451992524e-05	1.7943575310337863e-05	3.6336123393830485e-05	3.046322775394139e-05	5.713992150002356e-05	2.663377710526497e-06	1.0051251605145726e-05	2.0474551482515315e-05	3.756195194817891e-05	3.3159008648232066e-05	5.668346110215791e-05	7.673812293883386e-06	9.006716739064819e-06	1.4474817671460536e-05	3.324308889904372e-05	2.5985131249367988e-05	5.6102570521468616e-05
500.0	8.388160756669391e-07	3.7208577132808207e-06	1.1452681288231947e-05	2.3303285049586393e-05	2.018014570676831e-05	3.547478455406741e-05	5.66790172538607e-06	8.561441233329115e-06	1.1911024630736764e-05	2.640973221309396e-05	2.175569826343675e-05	3.962066528117278e-05	2.0091280679325344e-06	7.053292695758854e-06	1.359109780485191e-05	2.7300685920747944e-05	2.3680924184808052e-05	3.930415688978589e-05	5.788766500054207e-06	6.320308344076504e-06	9.60844797250966e-06	2.4161660456846834e-05	1.8557609172715074e-05	3.8901368949965786e-05
600.0	7.07318289561707e-07	3.1506773425625137e-06	9.227080351025812e-06	1.560781655839355e-05	1.3905308693126965e-05	2.3748754521074123e-05	4.779367813875497e-06	7.249494872446013e-06	9.596353776454608e-06	1.7688418386556337e-05	1.4990957180559445e-05	2.6524233072934385e-05	1.6941652285222978e-06	5.972453450092975e-06	1.0949938127840732e-05	1.828515150815246e-05	1.63175512066719e-05	2.6312345102777692e-05	4.881285109175966e-06	5.351790859030827e-06	7.741237118166989e-06	1.618272974622305e-05	1.278728547864049e-05	2.604269689977712e-05
700.0	4.4935591824196916e-07	2.1773329713180246e-06	7.134656757977579e-06	1.1643031588637258e-05	1.0493737824240972e-05	1.74031376940568e-05	3.0363094582934226e-06	5.00989549070732e-06	7.420190105477277e-06	1.3195107288530614e-05	1.1313029998749204e-05	1.9437014264807628e-05	1.0762950472947409e-06	4.127372752797681e-06	8.46682234153839e-06	1.3640254920727343e-05	1.2314153398196576e-05	1.9281742310774044e-05	3.101057027372767e-06	3.6984525630570915e-06	5.985757966667834e-06	1.2071902108839732e-05	9.650013837010457e-06	1.9084143535578916e-05
800.0	3.404071935904967e-07	1.663164226182914e-06	5.02907630438715e-06	8.986785698948258e-06	8.110975252368502e-06	1.2617093244349899e-05	2.3001401330456767e-06	3.826828081336433e-06	5.230343028314332e-06	1.0184770227058541e-05	8.744234693684505e-06	1.4091632536734243e-05	8.153416070680661e-07	3.152709668663976e-06	5.9680930780132495e-06	1.0528361700163396e-05	9.518037818318221e-06	1.3979061990163024e-05	2.349189310740579e-06	2.8250773198862373e-06	4.219240613125009e-06	9.317813526908244e-06	7.45883161252572e-06	1.383580493988653e-05
900.0	3.2170342931854016e-07	1.4148215395285112e-06	4.3819193815879665e-06	7.952997310897655e-06	7.114878536564597e-06	1.1113095381731862e-05	2.173758318410153e-06	3.255408403037579e-06	4.557286487805041e-06	9.013172555943623e-06	7.670368334882061e-06	1.241186487507113e-05	7.705424444567591e-07	2.6819489482062866e-06	5.200100604330386e-06	9.317239232638727e-06	8.349141857384842e-06	1.2312713097637778e-05	2.220112475921544e-06	2.403238465621579e-06	3.676295824365821e-06	8.245945592273292e-06	6.54282367984196e-06	1.2186532745872433e-05
1000.0	3.008390182832575e-07	1.3328666048315597e-06	4.15508183254827e-06	6.931168383611938e-06	6.112026939371844e-06	9.41797553067732e-06	2.03277695820909e-06	3.066835656843906e-06	4.321370760667496e-06	7.855128602922167e-06	6.589219711449991e-06	1.0518639107124841e-05	7.205681115274125e-07	2.5265944071777044e-06	4.930908505360577e-06	8.120127728865689e-06	7.172319202741166e-06	1.043461130194416e-05	2.0761247685467487e-06	2.264028504500366e-06	3.4859860852483e-06	7.1864776445772355e-06	5.620603975913146e-06	1.0327677686730908e-05
1100.0	2.6731657100344254e-07	1.1969374975928611e-06	3.561746288471984e-06	5.837996579624368e-06	5.158127563739883e-06	7.658744631350787e-06	1.806264922629232e-06	2.7540720003973687e-06	3.704289563529313e-06	6.616231402601091e-06	5.5608452243931765e-06	8.553809736328242e-06	6.402753135119305e-07	2.2689259196658904e-06	4.226786806023501e-06	6.839435328005587e-06	6.052940823490916e-06	8.485477906444474e-06	1.8447824928769187e-06	2.033137151784246e-06	2.9881957807756064e-06	6.0530389086761275e-06	4.743400606804782e-06	8.398518957702491e-06
1200.0	2.631178235440623e-07	1.1627299081299577e-06	3.253323962472382e-06	5.292067259054773e-06	4.757231658399852e-06	6.863694713242358e-06	1.7778938784160414e-06	2.67536265715235e-06	3.383523986526383e-06	5.997526909528977e-06	5.128649615978923e-06	7.665843619460419e-06	6.302184946030963e-07	2.204081693014323e-06	3.860776620952888e-06	6.199858337719304e-06	5.582498950656809e-06	7.6046052779181875e-06	1.8158064523119798e-06	1.9750315939335814e-06	2.7294389186622205e-06	5.487000307295601e-06	4.374737781553384e-06	7.526673488117253e-06
1300.0	2.4484064269699854e-07	1.0634862793232474e-06	3.1810867211817067e-06	4.8326740496458445e-06	4.402312146527913e-06	6.142666791182766e-06	1.654394498917503e-06	2.447009798407372e-06	3.3083957664515067e-06	5.47689423412775e-06	4.746019979885542e-06	6.860550329665734e-06	5.864410824769424e-07	2.0159545416684145e-06	3.7750514194192463e-06	5.66166169730958e-06	5.166009289260085e-06	6.805745047284392e-06	1.6896735189167867e-06	1.8064547808496938e-06	2.6688340910981913e-06	5.010685370654654e-06	4.0483547273972795e-06	6.735999955582681e-06
1400.0	2.2105219728666042e-07	9.617420528913267e-07	2.958649610403618e-06	4.222124851605783e-06	3.8670800953077255e-06	4.984547622673774e-06	1.4936553634898654e-06	2.21290323412831e-06	3.0770565858187455e-06	4.78495570319331e-06	4.169000013009818e-06	5.567083645991573e-06	5.294631170410864e-07	1.8230872340671418e-06	3.511081397733574e-06	4.946380059575328e-06	4.537927123234222e-06	5.52261117999423e-06	1.5255067130168828e-06	1.6336304126982248e-06	2.4822161845767934e-06	4.37764662166051e-06	3.5561567340040246e-06	5.4660156095599125e-06
1500.0	2.0859441556310797e-07	9.472810264417187e-07	2.8257699068110654e-06	4.028431895095302e-06	3.72467510952625e-06	4.364357650129952e-06	1.4094778130426298e-06	2.179629393078158e-06	2.938858954837587e-06	4.5654424842578935e-06	4.015476844897524e-06	4.874413073871604e-06	4.996243005817506e-07	1.7956747770236658e-06	3.3533907223052943e-06	4.719461384397058e-06	4.3708182370630605e-06	4.835473984130992e-06	1.4395341242715497e-06	1.6090666821886857e-06	2.3707341930292356e-06	4.17681899421954e-06	3.425201481808183e-06	4.785920177148608e-06
1600.0	2.1269847119958699e-07	9.658534313152285e-07	2.7826793566782855e-06	3.943749583836993e-06	3.774016327626346e-06	4.1476546212272985e-06	1.4372090221811586e-06	2.222363237029946e-06	2.8940438944105653e-06	4.469471587504111e-06	4.068670348479417e-06	4.632384312273842e-06	5.094543141101045e-07	1.8308808014758877e-06	3.3022544105036853e-06	4.620252831706451e-06	4.428718990704426e-06	4.595378661395477e-06	1.4678566856434442e-06	1.6406140657590481e-06	2.334582544464365e-06	4.08901741401441e-06	3.470575536828022e-06	4.548285344805399e-06
1700.0	2.2565983330568e-07	1.0227064315025871e-06	2.7747168847858e-06	4.071001438961526e-06	3.947756494215157e-06	4.2063197753232855e-06	1.5247892781819362e-06	2.3531781344406133e-06	2.8857627595002277e-06	4.613686766192749e-06	4.2559751725113704e-06	4.6979055680988905e-06	5.404993037823439e-07	1.9386518805800915e-06	3.2928052054192514e-06	4.769333226260055e-06	4.632598971187701e-06	4.660376502806969e-06	1.5573045406993537e-06	1.7371854799755603e-06	2.32790227501601e-06	4.220956585229132e-06	3.6303465392780286e-06	4.612617090091022e-06
1800.0	2.3015356192202044e-07	1.0080598344818206e-06	2.749437307032223e-06	3.882920287140154e-06	3.6001051351676885e-06	4.037182673470827e-06	1.5551535176342161e-06	2.319477308092438e-06	2.859471477511365e-06	4.400533434232761e-06	3.881181145837236e-06	4.5090016865570494e-06	5.512626600825707e-07	1.9108876542256234e-06	3.2628054870068254e-06	4.548988993995731e-06	4.224638315403764e-06	4.472981673757034e-06	1.5883162802561134e-06	1.712306536329781e-06	2.3066934854322255e-06	4.025947473038689e-06	3.3106472594357456e-06	4.4271426781953745e-06
1900.0	2.288283279798588e-07	1.0121477922263098e-06	2.851813608295037e-06	4.010207177107184e-06	3.816839540270264e-06	4.163740552307487e-06	1.5461988779161516e-06	2.328883421599239e-06	2.9659449412580678e-06	4.544788318087709e-06	4.114836957308193e-06	4.650350180117036e-06	5.480884663743053e-07	1.9186368251753377e-06	3.3842972397539845e-06	4.69811043320159e-06	4.478971018945749e-06	4.613201009489808e-06	1.5791706879485023e-06	1.7192504066504617e-06	2.392584058962154e-06	4.157922969602681e-06	3.5099556510904957e-06	4.565925049957108e-06
2000.0	2.2691979872973236e-07	9.997810579166944e-07	2.8213066402688025e-06	3.954830208760603e-06	3.742405458983874e-06	4.173101652518857e-06	1.5333028968500515e-06	2.300428404719109e-06	2.9342170656257513e-06	4.482029316440765e-06	4.034591480565194e-06	4.660805296978223e-06	5.435171666625652e-07	1.895194327907822e-06	3.348094085598277e-06	4.6332342058003354e-06	4.391624383231536e-06	4.623572605991203e-06	1.5659997074344235e-06	1.698244074221501e-06	2.3669896494346414e-06	4.100506193235205e-06	3.4415062647622478e-06	4.576190358617265e-06
2100.0	2.163087474521713e-07	9.852443773429074e-07	2.5075836000502813e-06	3.3299399083652923e-06	3.3083898980868373e-06	3.566491157219733e-06	1.4616037513652328e-06	2.266980488660417e-06	2.607938636563721e-06	3.773837940809246e-06	3.5666904197048997e-06	3.983301213657798e-06	5.181016297284778e-07	1.8676384601986897e-06	2.975793449970997e-06	3.901151420488614e-06	3.8823173771288734e-06	3.951480741926765e-06	1.492771618527014e-06	1.6735518364082283e-06	2.1037856508378574e-06	3.4525980880559953e-06	3.0423866909475466e-06	3.910986073850241e-06
